App#,Roll#,Score,UR-Rank,Category-Ranks
N26005099,100781074655,115.05,315.0,OBC-62
N26126899,115024090833,115.05,316.0,
N26145288,135626000913,114.9,317.0,OBC-63
N26098633,137365060682,114.9,318.0,
N26014862,108116115292,114.75,319.0,
N26052424,134022061587,114.75,320.0,
N26054631,138806071681,114.5,321.0,OBC-64
N26082834,101976055009,114.5,322.0,
N26069344,108800120821,114.5,323.0,SC-14
N26129451,108683022563,114.35,324.0,
N26137444,108554049898,114.35,325.0,
N26038409,107984066188,114.35,326.0,OBC-65
N26078111,108116117810,114.2,327.0,
N26130464,141479028900,114.2,328.0,OBC-66
N26000069,141881064012,114.2,329.0,
N26103178,103596053672,114.2,330.0,OBC-67
N26133847,101897113103,114.2,331.0,
N26125591,113297010336,114.2,331.0,
N26130556,116596079633,114.2,333.0,OBC-68
N26047069,108554049982,114.2,334.0,SC-15
N26069592,140832071309,114.2,334.0,
N26008649,109564009891,114.05,336.0,
N26083667,138141001200,114.05,337.0,OBC-69
N26102933,107998051342,114.05,337.0,OBC-69
N26064097,115135112078,114.05,339.0,
N26128271,137332029320,114.05,340.0,OBC-71
N26030440,137301095695,114.05,340.0,
N26051725,109451050420,113.9,342.0,OBC-72
N26019181,142141063142,113.9,343.0,
N26085933,100781074297,113.9,344.0,
N26059849,109208002216,113.9,345.0,OBC-73
N26113906,137470057660,113.9,346.0,
N26146946,139061053846,113.9,347.0,
N26067093,108320030608,113.9,348.0,OBC-74
N26046001,108348020650,113.75,349.0,
N26042694,101262112476,113.75,350.0,
N26107797,107976091108,113.75,351.0,
N26070532,108992093661,113.75,352.0,
N26065663,107866040941,113.75,353.0,
N26069333,100141073819,113.75,354.0,SC-16
N26039320,142127056224,113.5,355.0,
N26005639,109577087339,113.5,356.0,
N26051862,108817096700,113.5,357.0,
N26141923,108116115723,113.35,358.0,SC-17
N26119027,137202034081,113.35,359.0,
N26081975,101262112686,113.35,360.0,
N26035555,142057033101,113.35,361.0,OBC-75
N26115018,108116116849,113.05,362.0,OBC-76
N26096338,104869057356,113.05,363.0,OBC-77
N26053877,115822080930,113.05,363.0,OBC-77
N26064080,102995051952,113.05,365.0,
N26047001,140670062032,113.05,366.0,
N26005080,108588048448,113.05,367.0,
N26075300,101897113251,112.9,368.0,
N26106876,108042027252,112.9,369.0,JK-3
N26081374,108044102086,112.9,370.0,
N26072443,108756070477,112.9,371.0,
N26045372,135602110601,112.9,372.0,
N26010673,109519106514,112.75,373.0,
N26140453,140939014139,112.75,374.0,OBC-79
N26129229,137470057677,112.75,375.0,
N26101420,109531118341,112.75,376.0,
N26021028,141683076714,112.5,377.0,
N26091784,140939014067,112.5,378.0,OBC-80
N26040814,142127056226,112.5,379.0,
N26088082,141682076207,112.45,380.0,
N26077080,108116116789,112.35,381.0,
N26001734,141683077821,112.35,382.0,
N26129318,111365013117,112.2,383.0,
N26003820,114403017190,112.2,384.0,
N26101740,107906055687,112.2,385.0,OBC-81
N26117910,124832094874,112.05,386.0,
N26108746,138190069130,112.05,387.0,
N26009583,114411017354,112.05,388.0,
N26019090,133647085177,112.05,389.0,OBC-82
N26078958,108000004665,112.05,390.0,SC-18
N26058837,142117069311,112.05,391.0,
N26114835,109577087516,111.9,392.0,
N26065294,107850082058,111.9,393.0,OBC-83
N26044141,107797120327,111.9,394.0,
N26024407,125807109897,111.9,395.0,
N26060764,108800120805,111.9,395.0,
N26037571,109577087618,111.9,397.0,
N26105016,141683078175,111.75,398.0,
N26061056,116699059509,111.75,399.0,
N26137117,108044103453,111.75,400.0,OBC-84
N26057364,108116116979,111.75,401.0,
N26104333,140043012527,111.75,402.0,OBC-85
N26090874,107952101927,111.6,403.0,
N26066434,109345032347,111.45,404.0,
N26046283,115135112042,111.35,405.0,
N26146105,100926092759,111.35,406.0,
N26088688,109577086980,111.3,407.0,
N26146988,141881064185,111.2,408.0,
N26123700,108348020535,111.2,409.0,OBC-86
N26097644,138752119726,111.2,410.0,OBC-87
N26098748,141688044265,111.05,411.0,OBC-88
N26069129,133035081113,111.05,412.0,OBC-89
N26124754,140659072092,111.05,413.0,
N26131512,108449083147,111.05,414.0,
N26009809,109496036653,111.05,415.0,OBC-90
N26058033,138141001429,110.9,416.0,
N26084553,108050084233,110.9,417.0,
N26112242,125019050919,110.9,418.0,OBC-91
N26040557,138190068772,110.9,419.0,
N26088446,138814082534,110.75,420.0,
N26063391,142117069319,110.75,421.0,
N26085703,110624080213,110.75,422.0,
N26023449,111355053444,110.75,423.0,
N26145274,107954001124,110.6,424.0,
N26056928,141881064070,110.6,425.0,OBC-92
N26037268,109245023111,110.5,426.0,
N26055748,114449080528,110.45,427.0,
N26030681,108116116935,110.35,428.0,
N26028087,108763068102,110.35,429.0,
N26052024,109496036712,110.35,430.0,
N26025787,140083029692,110.3,431.0,
N26074860,108756070479,110.2,432.0,
N26087020,141478041910,110.2,433.0,
N26098648,107994026879,110.2,434.0,JK-4
N26026151,141875022122,110.2,435.0,
N26083540,137202034063,110.2,436.0,
N26050285,115008076020,110.05,437.0,
N26058102,108116116982,110.05,438.0,
N26054259,108554049995,110.05,439.0,
N26136543,100141073912,110.05,440.0,
N26030038,141615097519,110.05,441.0,OBC-93
N26057249,108683022438,110.05,442.0,
N26151541,109496036805,110.05,443.0,
N26074834,108000004218,110.05,444.0,OBC-94
N26041370,141562065155,109.9,445.0,
N26038418,123036053739,109.9,446.0,OBC-95
N26003993,108743034106,109.9,447.0,
N26072068,114449080374,109.9,448.0,
N26121010,137492020935,109.9,449.0,
N26114751,141478041722,109.9,450.0,
N26059115,100583058630,109.9,451.0,
N26024153,107991005386,109.9,452.0,
N26025046,135561118508,109.9,453.0,
N26005154,141585088330,109.9,453.0,
N26149093,137301095856,109.75,455.0,
N26060022,100781074675,109.75,456.0,OBC-96
N26028214,140659071947,109.75,457.0,
N26073045,107933114882,109.75,458.0,SC-19
N26005345,114403017191,109.75,459.0,
N26133593,137470057681,109.6,460.0,
N26115482,135766091597,109.6,461.0,
N26029363,100643119995,109.6,462.0,
N26098040,111353052373,109.6,463.0,OBC-97
N26130752,140149006761,109.6,464.0,
N26080614,104859022317,109.5,465.0,OBC-98
N26049465,100458047472,109.45,466.0,
N26092397,108763068185,109.35,467.0,
N26142065,115806099102,109.35,468.0,OBC-99
N26129195,108116116870,109.35,469.0,
N26108691,130524037378,109.2,470.0,OBC-100
N26148240,108116117298,109.2,471.0,
N26105341,133901006417,109.2,472.0,OBC-101
N26109301,108588048589,109.05,473.0,
N26139781,134023061881,109.05,474.0,OBC-102
N26032699,133035081295,109.05,475.0,OBC-103
N26044430,108116116951,109.05,475.0,
N26091186,141547063021,109.05,477.0,
N26084892,142057033339,108.9,478.0,
N26068549,107932111339,108.9,479.0,
N26076650,107954001072,108.9,480.0,
N26057076,109633106993,108.9,481.0,
N26049562,141682076356,108.9,482.0,
N26034955,113305104510,108.75,483.0,OBC-104
N26109483,141561056575,108.75,483.0,
N26035857,142141063161,108.75,485.0,
N26089370,111355053297,108.75,486.0,
N26094201,108116118035,108.75,487.0,
N26044165,137316011327,108.75,488.0,
N26121230,141478042201,108.75,489.0,
N26091499,108763068314,108.75,490.0,
N26044513,109208002187,108.6,491.0,OBC-105
N26101360,140670062137,108.6,492.0,
N26066928,141479028579,108.6,493.0,
N26131006,107997084960,108.5,494.0,OBC-106
N26039522,108481043040,108.45,495.0,
N26110547,141585088079,108.3,496.0,
N26062073,142117069800,108.2,497.0,
N26014647,107932111249,108.2,498.0,
N26058515,141547062975,108.2,499.0,
N26004611,134007027510,108.2,500.0,JK-5
N26103752,108050084437,108.2,501.0,
N26035143,109519106315,108.2,502.0,
N26095039,114947110454,108.05,503.0,
N26050560,140083029731,108.05,504.0,
N26080298,108116116212,108.05,505.0,
N26012944,108044102726,108.05,506.0,
N26091841,108116118032,108.0,507.0,
N26087776,111353052841,107.9,508.0,OBC-107
N26079420,108348020703,107.9,508.0,
N26048051,108116116748,107.9,510.0,
N26113754,137365060701,107.9,511.0,
N26108477,100673008155,107.9,512.0,
N26135041,138190069178,107.9,513.0,
N26116849,107976091122,107.9,514.0,OBC-108
N26072425,108050083990,107.9,515.0,OBC-109
N26048343,141683077004,107.9,516.0,
N26011942,109338109466,107.75,517.0,
N26040518,138806071661,107.75,518.0,
N26031976,134022061559,107.75,519.0,
N26069170,142118067419,107.75,520.0,OBC-110
N26020286,140659071932,107.75,521.0,
N26037370,108116117153,107.6,522.0,
N26139782,108042027297,107.6,523.0,JK-6
N26014248,115767079222,107.45,524.0,
N26118418,108588049427,107.45,525.0,OBC-111
N26021705,108588048189,107.45,526.0,
N26095977,101262112552,107.45,527.0,
N26052218,140938040477,107.35,528.0,
N26015660,140676062540,107.35,529.0,
N26067443,110624079983,107.35,530.0,
N26096078,109345032383,107.3,531.0,
N26075176,108116117805,107.2,532.0,
N26016421,137301095673,107.2,533.0,OBC-112
N26048333,108044103002,107.2,533.0,
N26017477,107797120291,107.2,535.0,SC-20
N26066371,116678113608,107.2,536.0,OBC-113
N26060367,100781074257,107.15,537.0,
N26014929,137301095449,107.05,538.0,
N26126716,141683076860,107.05,539.0,
N26143854,135602110744,107.05,540.0,
N26021709,109496036665,107.05,541.0,
N26037382,137365060638,107.05,542.0,
N26031586,111398031742,107.05,543.0,
N26088230,123445100039,106.9,544.0,OBC-114
N26147837,141875022258,106.9,545.0,
N26035742,108588049214,106.75,546.0,
N26002261,115284059096,106.75,547.0,OBC-115
N26094267,108777114261,106.75,548.0,
N26095650,109496036583,106.75,549.0,OBC-116
N26010903,140939013943,106.75,550.0,OBC-117
N26012306,114449080321,106.75,551.0,OBC-118
N26111545,101270072271,106.75,552.0,
N26128751,108588048130,106.6,553.0,
N26071673,141682076194,106.6,553.0,
N26024291,108348020615,106.6,555.0,
N26086980,114441010579,106.6,556.0,OBC-119
N26064125,125902011149,106.6,557.0,SC-21
N26126931,140670062307,106.45,558.0,OBC-120
N26062252,108116118161,106.45,559.0,
N26012626,109345031870,106.45,560.0,
N26085799,108116115417,106.45,561.0,
N26071364,109577087682,106.4,562.0,
N26124468,108050084454,106.35,563.0,OBC-121
N26120999,124271082375,106.35,564.0,OBC-122
N26119545,141683077547,106.3,565.0,OBC-123
N26076934,130677018870,106.3,566.0,
N26013652,111353052729,106.2,567.0,OBC-124
N26048365,108799067678,106.2,567.0,
N26066915,114441010411,106.2,569.0,OBC-125
N26056415,109451050431,106.2,570.0,OBC-126
N26076190,138814082509,106.2,570.0,OBC-126
N26119271,134022061688,106.05,572.0,OBC-128
N26000453,114947110340,106.05,573.0,
N26007084,108588047718,106.05,574.0,
N26022363,142057033412,106.05,575.0,
N26041568,100643120170,106.05,576.0,
N26107282,102995051964,106.05,577.0,
N26054273,115008076021,106.05,578.0,OBC-129
N26000960,116699059438,106.05,579.0,SC-22
N26142511,141547063110,105.9,580.0,
N26050808,112287045452,105.9,581.0,OBC-130
N26047389,107932111296,105.9,582.0,OBC-131
N26109590,108554050062,105.9,583.0,OBC-132
N26051703,109345031945,105.9,584.0,
N26046204,114089098463,105.9,585.0,OBC-133
N26082840,109286005992,105.9,586.0,
N26043955,104273008473,105.9,587.0,
N26024545,141683078073,105.9,588.0,
N26020955,108588048976,105.9,588.0,OBC-134
N26044323,104273008887,105.9,590.0,
N26053150,102090085994,105.75,591.0,OBC-135
N26071889,141683078134,105.75,592.0,
N26047546,142117069779,105.75,593.0,
N26039051,111353052544,105.75,594.0,
N26083015,108481043110,105.75,595.0,
N26127064,113297010270,105.75,596.0,
N26112333,141547063060,105.75,597.0,
N26023360,107994026768,105.75,598.0,JK-7
N26001148,108348020579,105.75,598.0,
N26025877,140670062004,105.6,600.0,OBC-136
N26101860,108588048898,105.6,601.0,
N26097005,137518031651,105.6,602.0,
N26074547,114328119577,105.6,603.0,
N26103145,108044103070,105.6,604.0,
N26111734,108320030456,105.6,605.0,
N26080474,108554049567,105.45,606.0,SC-23
N26061671,115141035943,105.45,607.0,OBC-137
N26070866,109345032353,105.45,608.0,
N26123773,124823010757,105.35,609.0,OBC-138
N26013756,110624080122,105.3,610.0,
N26086848,130727054118,105.3,611.0,OBC-139
N26095501,142250089911,105.2,612.0,
N26007210,109345032068,105.2,613.0,
N26076762,108567046001,105.2,614.0,OBC-140
N26125781,115902061294,105.15,615.0,
N26062696,141585088409,105.15,616.0,
N26083859,108017093303,105.15,617.0,
N26075884,116678113625,105.05,618.0,
N26148326,101270072494,105.05,619.0,
N26148593,141683077581,105.05,620.0,OBC-141
N26146914,108031001822,105.05,621.0,
N26142832,108116115901,105.05,622.0,
N26007417,108116117724,105.05,623.0,
N26004535,141585088540,105.05,624.0,
N26153883,108050084322,105.05,625.0,OBC-142
N26073855,108588048545,105.05,626.0,
N26150528,109577087563,105.05,627.0,
N26062347,138141001445,105.05,628.0,
N26006740,107994026736,104.9,629.0,JK-8
N26045929,108836038884,104.9,630.0,
N26035297,100583058604,104.9,631.0,
N26014418,137301095447,104.9,632.0,
N26138847,114411017458,104.9,633.0,OBC-143
N26149851,141547063119,104.9,633.0,
N26049256,126478018037,104.9,635.0,
N26049852,107954001042,104.75,636.0,
N26092117,141478042161,104.75,637.0,
N26080982,108320031046,104.75,638.0,SC-24
N26018485,108031001632,104.75,639.0,
N26108246,109245023215,104.75,639.0,OBC-144
N26095694,108116117658,104.75,641.0,
N26115052,107850082141,104.75,642.0,
N26005557,109496036473,104.75,643.0,
N26066807,108044102383,104.75,644.0,OBC-145
N26059393,141683078116,104.75,645.0,OBC-146
N26123920,108763068019,104.75,646.0,
N26008910,107933114779,104.75,647.0,
N26112731,115904060914,104.6,648.0,
N26121572,101897113307,104.6,649.0,
N26056680,123443099412,104.6,650.0,
N26055706,109496036536,104.6,651.0,OBC-147
